card_name,is_removal,is_mana_producer,produced_colours,dependency_tags,dependency_min_support,dependency_scope,oracle_text
"Brigid, Clachan's Heart // Brigid, Doun's Mind",False,True,G,kithkin,4,tribal,"Whenever this creature enters or transforms into Brigid, Clachan's Heart, create a 1/1 green and white Kithkin creature token.
At the beginning of your first main phase, you may pay {G}. If you do, transform Brigid."
Brigid's Command,True,False,,kithkin,4,tribal,"Choose two —
• Create a token that's a copy of target Kithkin you control.
• Target player creates a 1/1 green and white Kithkin creature token.
• Target creature you control gets +3/+3 until end of turn.
• Target creature you control fights target creature an opponent controls."
Bristlebane Battler,False,False,,,,,"Trample, ward {2}
This creature enters with five -1/-1 counters on it.
Whenever another creature you control enters while this creature has a -1/-1 counter on it, remove a -1/-1 counter from this creature."
Bristlebane Outrider,False,False,,,,,"This creature can't be blocked by creatures with power 2 or less.
As long as another creature entered the battlefield under your control this turn, this creature gets +2/+0."
Burdened Stoneback,False,False,,,,,"This creature enters with two -1/-1 counters on it.
{1}{W}, Remove a counter from this creature: Target creature gains indestructible until end of turn. Activate only as a sorcery. (Damage and effects that say ""destroy"" don't destroy it. If its toughness is 0 or less, it still dies.)"
Burning Curiosity,False,False,,,,,"As an additional cost to cast this spell, you may blight 1. (You may put a -1/-1 counter on a creature you control.)
Exile the top two cards of your library. If this spell's additional cost was paid, exile the top three cards instead. Until the end of your next turn, you may play those cards."
Catharsis,False,False,,kithkin,4,tribal,"When this creature enters, if {W}{W} was spent to cast it, create two 1/1 green and white Kithkin creature tokens.
When this creature enters, if {R}{R} was spent to cast it, creatures you control get +1/+1 and gain haste until end of turn.
Evoke {R/W}{R/W} (You may cast this spell for its evoke cost. If you do, it's sacrificed when it enters.)"
Celestial Reunion,False,False,,,,,"As an additional cost to cast this spell, you may choose a creature type and behold two creatures of that type.
Search your library for a creature card with mana value X or less, reveal it, put it into your hand, then shuffle. If this spell's additional cost was paid and the revealed card is the chosen type, put that card onto the battlefield instead of putting it into your hand."
Champion of the Clachan,False,False,,kithkin,5,tribal,"Flash
As an additional cost to cast this spell, behold a Kithkin and exile it. (Exile a Kithkin you control or a Kithkin card from your hand.)
Other Kithkin you control get +1/+1.
When this creature leaves the battlefield, return the exiled card to its owner's hand."
Champion of the Path,False,False,,elemental,7,tribal,"As an additional cost to cast this spell, behold an Elemental and exile it. (Exile an Elemental you control or an Elemental card from your hand.)
Whenever another Elemental you control enters, it deals damage equal to its power to each opponent.
When this creature leaves the battlefield, return the exiled card to its owner's hand."
Champion of the Weird,False,False,,goblin,3,tribal,"As an additional cost to cast this spell, behold a Goblin and exile it. (Exile a Goblin you control or a Goblin card from your hand.)
Pay 1 life, Blight 2: Target opponent blights 2. Activate only as a sorcery.
When this creature leaves the battlefield, return the exiled card to its owner's hand."
Champions of the Perfect,False,False,,elf,7,tribal,"As an additional cost to cast this spell, behold an Elf and exile it. (Exile an Elf you control or an Elf card from your hand.)
Whenever you cast a creature spell, draw a card.
When this creature leaves the battlefield, return the exiled card to its owner's hand."
Champions of the Shoal,False,False,,merfolk,3,tribal,"As an additional cost to cast this spell, behold a Merfolk and exile it. (Exile a Merfolk you control or a Merfolk card from your hand.)
Whenever this creature enters or becomes tapped, tap up to one target creature and put a stun counter on it.
When this creature leaves the battlefield, return the exiled card to its owner's hand."
Changeling Wayfinder,False,False,,,,,"Changeling (This card is every creature type.)
When this creature enters, you may search your library for a basic land card, reveal it, put it into your hand, then shuffle."
Chaos Spewer,False,False,,,,,"When this creature enters, you may pay {2}. If you don't, blight 2. (To blight 2, put two -1/-1 counters on a creature you control.)"
Chitinous Graspling,False,False,,,,,"Changeling (This card is every creature type.)
Reach"
Chomping Changeling,False,False,,,,,"Changeling (This card is every creature type.)
When this creature enters, destroy up to one target artifact or enchantment."
Chronicle of Victory,False,False,,,,,"As Chronicle of Victory enters, choose a creature type.
Creatures you control of the chosen type get +2/+2 and have first strike and trample.
Whenever you cast a spell of the chosen type, draw a card."
Cinder Strike,True,False,,,,,"As an additional cost to cast this spell, you may blight 1. (You may put a -1/-1 counter on a creature you control.)
Cinder Strike deals 2 damage to target creature. It deals 4 damage to that creature instead if this spell's additional cost was paid."
Clachan Festival,False,False,,kithkin,4,tribal,"When this enchantment enters, create two 1/1 green and white Kithkin creature tokens.
{4}{W}: Create a 1/1 green and white Kithkin creature token."
Collective Inferno,False,False,,,,,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
As this enchantment enters, choose a creature type.
Double all damage that sources you control of the chosen type would deal."
Creakwood Safewright,False,False,,elf,3,tribal,"This creature enters with three -1/-1 counters on it.
At the beginning of your end step, if there is an Elf card in your graveyard and this creature has a -1/-1 counter on it, remove a -1/-1 counter from this creature."
Crib Swap,True,False,,,,,"Changeling (This card is every creature type.)
Exile target creature. Its controller creates a 1/1 colorless Shapeshifter creature token with changeling."
Crossroads Watcher,False,False,,,,,"Trample
Whenever another creature you control enters, this creature gets +1/+0 until end of turn."
Curious Colossus,False,False,,,,,"When this creature enters, each creature target opponent controls loses all abilities, becomes a Coward in addition to its other types, and has base power and toughness 1/1."
Darkness Descends,False,False,,,,,Put two -1/-1 counters on each creature.
Dawn-Blessed Pennant,True,False,,,,,"As this artifact enters, choose Elemental, Elf, Faerie, Giant, Goblin, Kithkin, Merfolk, or Treefolk.
Whenever a permanent you control of the chosen type enters, you gain 1 life.
{2}, {T}, Sacrifice this artifact: Return target card of the chosen type from your graveyard to your hand."
Dawn's Light Archer,False,False,,,,,"Flash
Reach"
Dawnhand Dissident,False,False,,,,,"{T}, Blight 1: Surveil 1.
{T}, Blight 2: Exile target card from a graveyard.
During your turn, you may cast creature spells from among cards you own exiled with this creature by removing three counters from among creatures you control in addition to paying their other costs."
Dawnhand Eulogist,False,False,,elf,3,tribal,"Menace (This creature can't be blocked except by two or more creatures.)
When this creature enters, mill three cards. Then if there is an Elf card in your graveyard, each opponent loses 2 life and you gain 2 life. (To mill three cards, put the top three cards of your library into your graveyard.)"
Deceit,False,False,,,,,"When this creature enters, if {U}{U} was spent to cast it, return up to one other target nonland permanent to its owner's hand.
When this creature enters, if {B}{B} was spent to cast it, target opponent reveals their hand. You choose a nonland card from it. That player discards that card.
Evoke {U/B}{U/B}"
Deepchannel Duelist,False,False,,merfolk,5,tribal,"At the beginning of your end step, untap target Merfolk you control.
Other Merfolk you control get +1/+1."
Deepway Navigator,False,False,,merfolk,4,tribal,"Flash
When this creature enters, untap each other Merfolk you control.
As long as you attacked with three or more Merfolk this turn, Merfolk you control get +1/+0."
Disruptor of Currents,False,False,,,,,"Flash
Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
When this creature enters, return up to one other target nonland permanent to its owner's hand."
"Doran, Besieged by Time",False,False,,,,,"Each creature spell you cast with toughness greater than its power costs {1} less to cast.
Whenever a creature you control attacks or blocks, it gets +X/+X until end of turn, where X is the difference between its power and toughness."
Dose of Dawnglow,False,False,,,,,"Return target creature card from your graveyard to the battlefield. Then if it isn't your main phase, blight 2. (Put two -1/-1 counters on a creature you control.)"
Dream Harvest,False,False,,,,,"Each opponent exiles cards from the top of their library until they have exiled cards with total mana value 5 or greater this way. Until end of turn, you may cast cards exiled this way without paying their mana costs."
Dream Seizer,False,False,,,,,"Flying
When this creature enters, you may blight 1. If you do, each opponent discards a card. (To blight 1, put a -1/-1 counter on a creature you control.)"
Dundoolin Weaver,False,False,,,,,"When this creature enters, if you control three or more creatures, return target permanent card from your graveyard to your hand."
Eclipsed Boggart,False,False,,goblin,5,tribal,"When this creature enters, look at the top four cards of your library. You may reveal a Goblin, Swamp, or Mountain card from among them and put it into your hand. Put the rest on the bottom of your library in a random order."
Eclipsed Elf,False,False,,elf,5,tribal,"When this creature enters, look at the top four cards of your library. You may reveal an Elf, Swamp, or Forest card from among them and put it into your hand. Put the rest on the bottom of your library in a random order."
Eclipsed Flamekin,False,False,,elemental,5,tribal,"When this creature enters, look at the top four cards of your library. You may reveal an Elemental, Island, or Mountain card from among them and put it into your hand. Put the rest on the bottom of your library in a random order."
Eclipsed Kithkin,False,False,,kithkin,5,tribal,"When this creature enters, look at the top four cards of your library. You may reveal a Kithkin, Forest, or Plains card from among them and put it into your hand. Put the rest on the bottom of your library in a random order."
Eclipsed Merrow,False,False,,merfolk,5,tribal,"When this creature enters, look at the top four cards of your library. You may reveal a Merfolk, Plains, or Island card from among them and put it into your hand. Put the rest on the bottom of your library in a random order."
Eclipsed Realms,False,True,WUBRG,,,,"As this land enters, choose Elemental, Elf, Faerie, Giant, Goblin, Kithkin, Merfolk, or Treefolk.
{T}: Add {C}.
{T}: Add one mana of any color. Spend this mana only to cast a spell of the chosen type or activate an ability of a source of the chosen type."
"Eirdu, Carrier of Dawn // Isilu, Carrier of Twilight",False,False,,,,,"Flying, lifelink
Creature spells you cast have convoke. (Your creatures can help cast those spells. Each creature you tap while casting a creature spell pays for {1} or one mana of that creature's color.)
At the beginning of your first main phase, you may pay {B}. If you do, transform Eirdu."
Elder Auntie,False,False,,goblin,4,tribal,"When this creature enters, create a 1/1 black and red Goblin creature token."
Emptiness,False,False,,,,,"When this creature enters, if {W}{W} was spent to cast it, return target creature card with mana value 3 or less from your graveyard to the battlefield.
When this creature enters, if {B}{B} was spent to cast it, put three -1/-1 counters on up to one target creature.
Evoke {W/B}{W/B}"
Encumbered Reejerey,False,False,,,,,"This creature enters with three -1/-1 counters on it.
Whenever this creature becomes tapped while it has a -1/-1 counter on it, remove a -1/-1 counter from it."
End-Blaze Epiphany,False,False,,,,,"End-Blaze Epiphany deals X damage to target creature. When that creature dies this turn, exile a number of cards from the top of your library equal to its power, then choose a card exiled this way. Until the end of your next turn, you may play that card."
Enraged Flamecaster,False,False,,,,,"Reach
Whenever you cast a spell with mana value 4 or greater, this creature deals 2 damage to each opponent."
Evershrike's Gift,False,False,,,,,"Enchant creature
Enchanted creature gets +1/+0 and has flying.
{1}{W}, Blight 2: Return this card from your graveyard to your hand. Activate only as a sorcery. (To blight 2, put two -1/-1 counters on a creature you control.)"
Evolving Wilds,False,False,,,,,"{T}, Sacrifice this land: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle."
Explosive Prodigy,False,False,,,,,"Vivid — When this creature enters, it deals X damage to target creature an opponent controls, where X is the number of colors among permanents you control."
Feed the Flames,True,False,,,,,"Feed the Flames deals 5 damage to target creature. If that creature would die this turn, exile it instead."
Feisty Spikeling,False,False,,,,,"Changeling (This card is every creature type.)
During your turn, this creature has first strike."
Figure of Fable,False,False,,,,,"{G/W}: This creature becomes a Kithkin Scout with base power and toughness 2/3.
{1}{G/W}{G/W}: If this creature is a Scout, it becomes a Kithkin Soldier with base power and toughness 4/5.
{3}{G/W}{G/W}{G/W}: If this creature is a Soldier, it becomes a Kithkin Avatar with base power and toughness 7/8 and protection from each of your opponents."
Firdoch Core,False,True,WUBRG,,,,"Changeling (This card is every creature type.)
{T}: Add one mana of any color.
{4}: This artifact becomes a 4/4 artifact creature until end of turn."
Flame-Chain Mauler,False,False,,,,,{1}{R}: This creature gets +1/+0 and gains menace until end of turn. (It can't be blocked except by two or more creatures.)
Flamebraider,False,True,WUBRG,elemental,4,tribal,{T}: Add two mana in any combination of colors. Spend this mana only to cast Elemental spells or activate abilities of Elemental sources.
Flamekin Gildweaver,False,True,WUBRG,,,,"Trample
When this creature enters, create a Treasure token. (It's an artifact with ""{T}, Sacrifice this token: Add one mana of any color."")"
Flaring Cinder,False,False,,,,,"When this creature enters and whenever you cast a spell with mana value 4 or greater, you may discard a card. If you do, draw a card."
Flitterwing Nuisance,False,False,,,,,"Flying
This creature enters with a -1/-1 counter on it.
{2}{U}, Remove a counter from this creature: Whenever a creature you control deals combat damage to a player or planeswalker this turn, draw a card."
Flock Impostor,False,False,,,,,"Changeling (This card is every creature type.)
Flash
Flying
When this creature enters, return up to one other target creature you control to its owner's hand."
Foraging Wickermaw,False,True,WUBRG,,,,"When this creature enters, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)
{1}: Add one mana of any color. This creature becomes that color until end of turn. Activate only once each turn."
Forest,False,True,G,,,,({T}: Add {G}.)
Formidable Speaker,False,False,,,,,"When this creature enters, you may discard a card. If you do, search your library for a creature card, reveal it, put it into your hand, then shuffle.
{1}, {T}: Untap another target permanent."
Gallant Fowlknight,False,False,,kithkin,4,tribal,"When this creature enters, creatures you control get +1/+0 until end of turn. Kithkin creatures you control also gain first strike until end of turn."
Gangly Stompling,False,False,,,,,"Changeling (This card is every creature type.)
Trample"
Gathering Stone,False,False,,,,,"As this artifact enters, choose a creature type.
Spells you cast of the chosen type cost {1} less to cast.
When this artifact enters and at the beginning of your upkeep, look at the top card of your library. If it's a card of the chosen type, you may reveal it and put it into your hand. If you don't put the card into your hand, you may put it into your graveyard."
Giantfall,False,False,,,,,"Choose one —
• Target creature you control deals damage equal to its power to target creature an opponent controls.
• Destroy target artifact."
Gilt-Leaf's Embrace,False,False,,,,,"Flash
Enchant creature
When this Aura enters, enchanted creature gains trample and indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it. If its toughness is 0 or less, it still dies.)
Enchanted creature gets +2/+0."
Glamer Gifter,False,False,,,,,"Flash
Flying
When this creature enters, choose up to one other target creature. Until end of turn, that creature has base power and toughness 4/4 and gains all creature types."
Glamermite,False,False,,,,,"Flash
Flying
When this creature enters, choose one —
• Tap target creature.
• Untap target creature."
Glen Elendra Guardian,False,False,,,,,"Flash
Flying
This creature enters with a -1/-1 counter on it.
{1}{U}, Remove a counter from this creature: Counter target noncreature spell. Its controller draws a card."
Glen Elendra's Answer,False,False,,faerie,7,tribal,"This spell can't be countered.
Counter all spells your opponents control and all abilities your opponents control. Create a 1/1 blue and black Faerie creature token with flying for each spell and ability countered this way."
Glister Bairn,False,False,,,,,"Vivid — At the beginning of combat on your turn, another target creature you control gets +X/+X until end of turn, where X is the number of colors among permanents you control."
Gloom Ripper,False,False,,elf,7,tribal,"When this creature enters, target creature you control gets +X/+0 until end of turn and up to one target creature an opponent controls gets -0/-X until end of turn, where X is the number of Elves you control plus the number of Elf cards in your graveyard."
Gnarlbark Elm,True,False,,,,,"This creature enters with two -1/-1 counters on it.
{2}{B}, Remove two counters from this creature: Target creature gets -2/-2 until end of turn. Activate only as a sorcery."
Goatnap,True,False,,,,,"Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn. If that creature is a Goat, it also gets +3/+0 until end of turn."
Goldmeadow Nomad,False,False,,kithkin,4,tribal,"{W}, Exile this card from your graveyard: Create a 1/1 green and white Kithkin creature token. Activate only as a sorcery."
Goliath Daydreamer,False,False,,,,,"Whenever you cast an instant or sorcery spell from your hand, exile that card with a dream counter on it instead of putting it into your graveyard as it resolves.
Whenever this creature attacks, you may cast a spell from among cards you own in exile with dream counters on them without paying its mana cost."
Gravelgill Scoundrel,False,False,,,,,"Vigilance
Whenever this creature attacks, you may tap another untapped creature you control. If you do, this creature can't be blocked this turn."
Graveshifter,False,False,,,,,"Changeling (This card is every creature type.)
When this creature enters, you may return target creature card from your graveyard to your hand."
Great Forest Druid,False,True,WUBRG,,,,{T}: Add one mana of any color.
Gristle Glutton,False,False,,,,,"{T}, Blight 1: Discard a card. If you do, draw a card. (To blight 1, put a -1/-1 counter on a creature you control.)"
"Grub, Storied Matriarch // Grub, Notorious Auntie",False,False,,goblin,4,tribal,"Menace
Whenever this creature enters or transforms into Grub, Storied Matriarch, return up to one target Goblin card from your graveyard to your hand.
At the beginning of your first main phase, you may pay {R}. If you do, transform Grub."
Grub's Command,True,False,,goblin,4,tribal,"Choose two —
• Create a token that's a copy of target Goblin you control.
• Creatures target player controls get +1/+1 and gain haste until end of turn.
• Destroy target artifact or creature.
• Target player mills five cards, then puts each Goblin card milled this way into their hand."
Gutsplitter Gang,False,False,,,,,"At the beginning of your first main phase, you may blight 2. If you don't, you lose 3 life. (To blight 2, put two -1/-1 counters on a creature you control.)"
Hallowed Fountain,False,True,WU,,,,"({T}: Add {W} or {U}.)
As this land enters, you may pay 2 life. If you don't, it enters tapped."
Harmonized Crescendo,False,False,,,,,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
Choose a creature type. Draw a card for each permanent you control of that type."
Heirloom Auntie,False,False,,,,,"This creature enters with two -1/-1 counters on it.
Whenever another creature you control dies, surveil 1, then remove a -1/-1 counter from this creature. (To surveil 1, look at the top card of your library. You may put it into your graveyard.)"
Hexing Squelcher,False,False,,,,,"This spell can't be countered.
Ward—Pay 2 life.
Spells you control can't be countered.
Other creatures you control have ""Ward—Pay 2 life."""
High Perfect Morcant,False,False,,elf,7,tribal,"Whenever High Perfect Morcant or another Elf you control enters, each opponent blights 1. (They each put a -1/-1 counter on a creature they control.)
Tap three untapped Elves you control: Proliferate. Activate only as a sorcery. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)"
Hovel Hurler,False,False,,,,,"This creature enters with two -1/-1 counters on it.
{R/W}{R/W}, Remove a counter from this creature: Another target creature you control gets +1/+0 and gains flying until end of turn. Activate only as a sorcery."
Illusion Spinners,False,False,,faerie,3,tribal,"You may cast this spell as though it had flash if you control a Faerie.
Flying
This creature has hexproof as long as it's untapped. (It can't be the target of spells or abilities your opponents control.)"
Impolite Entrance,False,False,,,,,"Target creature gains trample and haste until end of turn.
Draw a card."
Iron-Shield Elf,False,False,,,,,"Discard a card: This creature gains indestructible until end of turn. Tap it. (Damage and effects that say ""destroy"" don't destroy it. If its toughness is 0 or less, it still dies.)"
Island,False,True,U,,,,({T}: Add {U}.)
Keep Out,True,False,,,,,"Choose one —
• Keep Out deals 4 damage to target tapped creature.
• Destroy target enchantment."
Kinbinding,False,False,,kithkin,4,tribal,"Creatures you control get +X/+X, where X is the number of creatures that entered the battlefield under your control this turn.
At the beginning of combat on your turn, create a 1/1 green and white Kithkin creature token."
Kindle the Inner Flame,False,False,,elemental,3,tribal,"Create a token that's a copy of target creature you control, except it has haste and ""At the beginning of the end step, sacrifice this token.""
Flashback—{1}{R}, Behold three Elementals. (You may cast this card from your graveyard for its flashback cost. Then exile it. To behold an Elemental, choose an Elemental you control or reveal an Elemental card from your hand.)"
Kinsbaile Aspirant,False,False,,kithkin,7,tribal,"As an additional cost to cast this spell, behold a Kithkin or pay {2}. (To behold a Kithkin, choose a Kithkin you control or reveal a Kithkin card from your hand.)
Whenever another creature you control enters, this creature gets +1/+1 until end of turn."
Kinscaer Sentry,False,False,,,,,"First strike, lifelink
Whenever this creature attacks, you may put a creature card with mana value X or less from your hand onto the battlefield tapped and attacking, where X is the number of attacking creatures you control."
"Kirol, Attentive First-Year",False,False,,,,,Tap two untapped creatures you control: Copy target triggered ability you control. You may choose new targets for the copy. Activate only once each turn.
Kithkeeper,False,False,,kithkin,7,tribal,"Vivid — When this creature enters, create X 1/1 green and white Kithkin creature tokens, where X is the number of colors among permanents you control.
Tap three untapped creatures you control: This creature gets +3/+0 and gains flying until end of turn."
Kulrath Mystic,False,False,,,,,"Whenever you cast a spell with mana value 4 or greater, this creature gets +2/+0 and gains vigilance until end of turn."
Kulrath Zealot,False,False,,,,,"When this creature enters, exile the top card of your library. Until the end of your next turn, you may play that card.
Basic landcycling {1}{R} ({1}{R}, Discard this card: Search your library for a basic land card, reveal it, put it into your hand, then shuffle.)"
Lasting Tarfire,False,False,,,,,"At the beginning of each end step, if you put a counter on a creature this turn, this enchantment deals 2 damage to each opponent."
Lavaleaper,False,True,WUBRG,,,,"All creatures have haste.
Whenever a player taps a basic land for mana, that player adds one mana of any type that land produced."
Liminal Hold,False,False,,,,,"When this enchantment enters, exile up to one target nonland permanent an opponent controls until this enchantment leaves the battlefield. You gain 2 life."
"Lluwen, Imperfect Naturalist",False,False,,,,,"When Lluwen enters, mill four cards, then you may put a creature or land card from among the milled cards on top of your library.
{2}{B/G}{B/G}{B/G}, {T}, Discard a land card: Create a 1/1 black and green Worm creature token for each land card in your graveyard."
Loch Mare,False,False,,,,,"This creature enters with three -1/-1 counters on it.
{1}{U}, Remove a counter from this creature: Draw a card.
{2}{U}, Remove two counters from this creature: Tap target creature. Put a stun counter on it. (If a permanent with a stun counter would become untapped, remove one from it instead.)"
Lofty Dreams,False,False,,,,,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
Enchant creature
When this Aura enters, draw a card.
Enchanted creature gets +2/+2 and has flying."
Luminollusk,False,False,,,,,"Deathtouch
Vivid — When this creature enters, you gain life equal to the number of colors among permanents you control."
Lys Alana Dignitary,False,True,G,elf,3,tribal,"As an additional cost to cast this spell, behold an Elf or pay {2}. (To behold an Elf, choose an Elf you control or reveal an Elf card from your hand.)
{T}: Add {G}{G}. Activate only if there is an Elf card in your graveyard."
Lys Alana Informant,False,False,,,,,"When this creature enters or dies, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)"
"Maralen, Fae Ascendant",False,False,,"elf,faerie",7,tribal,"Flying
Whenever Maralen or another Elf or Faerie you control enters, exile the top two cards of target opponent's library.
Once each turn, you may cast a spell with mana value less than or equal to the number of Elves and Faeries you control from among cards exiled with Maralen this turn without paying its mana cost."
Meanders Guide,False,False,,merfolk,7,tribal,"Whenever this creature attacks, you may tap another untapped Merfolk you control. When you do, return target creature card with mana value 3 or less from your graveyard to the battlefield."
Meek Attack,False,False,,,,,"{1}{R}: You may put a creature card with total power and toughness 5 or less from your hand onto the battlefield. That creature gains haste. At the beginning of the next end step, sacrifice that creature."
Merrow Skyswimmer,False,False,,merfolk,4,tribal,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
Flying, vigilance
When this creature enters, create a 1/1 white and blue Merfolk creature token."
Midnight Tilling,False,False,,,,,"Mill four cards, then you may return a permanent card from among them to your hand. (To mill four cards, put the top four cards of your library into your graveyard.)"
Mirrorform,False,False,,,,,Each nonland permanent you control becomes a copy of target non-Aura permanent.
Mirrormind Crown,False,False,,,,,"As long as this Equipment is attached to a creature, the first time you would create one or more tokens each turn, you may instead create that many tokens that are copies of equipped creature.
Equip {2}"
Mischievous Sneakling,False,False,,,,,"Changeling (This card is every creature type.)
Flash"
Mistmeadow Council,False,False,,kithkin,3,tribal,"This spell costs {1} less to cast if you control a Kithkin.
When this creature enters, draw a card."
Moon-Vigil Adherents,False,False,,,,,"Trample
This creature gets +1/+1 for each creature you control and each creature card in your graveyard."
Moonglove Extractor,False,False,,,,,"Whenever this creature attacks, you draw a card and lose 1 life."
Moonlit Lamenter,False,False,,,,,"This creature enters with a -1/-1 counter on it.
{1}{W}, Remove a counter from this creature: Draw a card. Activate only as a sorcery."
Moonshadow,False,False,,,,,"Menace
This creature enters with six -1/-1 counters on it.
Whenever one or more permanent cards are put into your graveyard from anywhere while this creature has a -1/-1 counter on it, remove a -1/-1 counter from this creature."
